"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Species 34",1984.5,0.308,0.041,68,60,60,1580,0
"Species 34",1994.5,0.297,0.047,49,42,42,1580,0
"Species 35",1984.5,0.151,0.038,20,16,16,1313,0
"Species 35",1994.5,0.329,0.066,34,26,26,1313,0
"Species 36",1984.5,0.138,0.081,5,3,3,539,0
"Species 36",1994.5,0.076,0.077,2,1,1,539,0
"Species 11",1984.5,0.349,0.148,6,6,6,327,0
"Species 11",1994.5,0.222,0.132,4,3,3,327,0
"Species 37",1984.5,0.191,0.137,3,2,2,415,0
"Species 37",1994.5,0.121,0.122,3,1,1,415,0
"Species 38",1984.5,0.294,0.037,74,66,66,1656,1
"Species 38",1994.5,0.319,0.048,51,47,47,1656,4
"Species 39",1984.5,0.299,0.047,52,43,43,1405,0
"Species 39",1994.5,0.326,0.056,50,37.1,37.1,1405,2
"Species 4",1984.5,0.142,0.051,13,8,8,1324,1
"Species 4",1994.5,0.207,0.071,14,9,9,1324,0
"Species 40",1984.5,0.071,0.051,4,2,2,586,0
"Species 40",1994.5,0.181,0.092,8,4,4,586,0
"Species 41",1984.5,0.17,0.086,4,4,4,535,0
"Species 41",1994.5,0.139,0.083,5,3,3,535,0
"Species 42",1984.5,0.29,0.038,79,63.1,63.1,2584,1
"Species 42",1994.5,0.213,0.037,51,34.1,34.1,2584,0
"Species 44",1984.5,0.283,0.119,6,6,6,313,0
"Species 44",1994.5,0.092,0.066,2,2,2,313,0
"Species 45",1984.5,0.167,0.17,1,1,1,213,0
"Species 45",1994.5,0.43,0.323,2,2,2,213,0
"Species 46",1984.5,0.273,0.147,6,5,5,328,1
"Species 46",1994.5,0.186,0.128,4,3,3,328,1
"Species 12",1984.5,0.278,0.141,6,4,4,356,0
"Species 12",1994.5,0,0,0,0,0,0,0
"Species 47",1984.5,0.37,0.193,4,4,4,392,0
"Species 47",1994.5,0,0,0,0,0,0,0
"Species 48",1984.5,0.089,0.064,4,2,2,741,0
"Species 48",1994.5,0.361,0.166,7,5,5,741,0
"Species 49",1984.5,0.183,0.186,1,1,1,127,0
"Species 49",1994.5,0.002,0.026,1,0,0,127,0
"Species 5",1984.5,0.234,0.037,45,41,41,1511,0
"Species 5",1994.5,0.338,0.055,42,41,41,1511,0
"Species 50",1984.5,0.314,0.227,2,2,2,169,0
"Species 50",1994.5,0,0,0,0,0,0,0
"Species 51",1984.5,0.161,0.164,2,1,1,143,0
"Species 51",1994.5,0.001,0.015,1,0,0,143,0
"Species 52",1984.5,0.756,0.372,5,5,5,165,0
"Species 52",1994.5,0.658,0.357,4,4,4,165,0
"Species 54",1984.5,0.185,0.077,7,6,6,705,0
"Species 54",1994.5,0.253,0.106,6,6,6,705,0
"Species 55",1984.5,0,0,0,0,0,0,0
"Species 55",1994.5,0.853,0.913,1,1,1,77,0
"Species 56",1984.5,0,0,0,0,0,0,0
"Species 56",1994.5,0.39,0.416,1,1,1,138,0
"Species 13",1984.5,0.589,0.048,196,180.1,180.1,2050,20
"Species 13",1994.5,0.586,0.058,144,126.1,126.1,2050,16
"Species 57",1984.5,0.136,0.147,1,1,1,183,0
"Species 57",1994.5,0.001,0.013,1,0,0,183,0
"Species 6",1984.5,0.257,0.059,27,20,20,1328,0
"Species 6",1994.5,0.057,0.033,8,3,3,1328,0
"Species 66",1984.5,0,0,0,0,0,0,0
"Species 66",1994.5,0.002,0.024,1,0,0,195,0
"Species 7",1984.5,0.231,0.089,7,7,7,717,0
"Species 7",1994.5,0.102,0.06,4,3,3,717,0
"Species 8",1984.5,0.133,0.037,20,13,13,1195,0
"Species 8",1994.5,0.306,0.064,34,24.1,24.1,1195,0
"Species 9",1984.5,0.299,0.045,53,47,47,1284,2
"Species 9",1994.5,0.482,0.068,66,58,58,1284,5
"Species 14",1984.5,0.147,0.034,28,19,19,1683,0
"Species 14",1994.5,0.212,0.052,26,17,17,1683,0
"Species 15",1984.5,0.359,0.038,113,101.1,101.1,2531,12
"Species 15",1994.5,0.356,0.045,84,73.1,73.1,2531,16
"Species 16",1984.5,0.355,0.059,46,40,40,828,3
"Species 16",1994.5,0.488,0.087,46,38,38,828,6
"Species 17",1984.5,0.283,0.034,92,74.1,74.1,1943,4
"Species 17",1994.5,0.341,0.045,75,63.1,63.1,1943,1
